"","Date","Day","Hour","Lat","Long","Type","Severity"
"55",2011-02-10,"Thursday","10:05",-19.9325453742156,-43.9915537746322,"Collision","Nonfatal"
"56",2011-02-10,"Thursday","11:25",-19.9468166198118,-43.9596061590942,"Collision","Nonfatal"
"57",2011-02-10,"Thursday","11:40",-19.8814828095123,-43.9853317643722,"Running over","Nonfatal"
"58",2011-02-10,"Thursday","13:15",-19.8336844081432,-44.009829204635,"Collision","Nonfatal"
"59",2011-02-10,"Thursday","14:00",-19.9213836770455,-43.9430060625372,"Running over","Nonfatal"
"60",2011-02-10,"Thursday","14:20",-19.8882686870128,-43.9672249521411,"Running over","Nonfatal"
"61",2011-02-10,"Thursday","17:00",-19.9086316417163,-43.9466425978988,"Collision","Nonfatal"
"62",2011-02-10,"Thursday","17:00",-19.9086316417163,-43.9466425978988,"Collision","Nonfatal"
"63",2011-02-10,"Thursday","17:00",-19.9445461182879,-43.9691140330365,"Collision","Nonfatal"
"64",2011-02-10,"Thursday","17:05",-19.8544337311697,-43.9694058938611,"Collision","Nonfatal"
"65",2011-02-10,"Thursday","18:20",-19.8667801207528,-43.9201561238612,"Collision","Nonfatal"
"66",2011-02-10,"Thursday","19:30",-19.8923882765102,-44.0111159557982,"Running over","Nonfatal"
"67",2011-02-10,"Thursday","19:30",-19.8923882765102,-44.0111159557982,"Running over","Nonfatal"
"68",2011-02-10,"Thursday","20:00",-20.0032003257931,-44.0349269221452,"Collision","Nonfatal"
"69",2011-02-10,"Thursday","22:00",-19.8516873126623,-43.9068946814446,"Running over","Nonfatal"
"70",2011-02-10,"Thursday","22:25",-19.9156857889177,-43.940098325915,"Collision","Nonfatal"
"71",2011-02-10,"Thursday","23:00",-19.9277357885377,-43.9543727351976,"Collision","Nonfatal"
"72",2011-02-10,"Thursday","23:00",-19.9277357885377,-43.9543727351976,"Collision","Nonfatal"
"73",2011-02-10,"Thursday","23:00",-19.9277357885377,-43.9543727351976,"Collision","Nonfatal"
"74",2011-02-10,"Thursday","23:40",-19.8475710574151,-43.9383597782217,"Collision","Nonfatal"
"75",2011-02-11,"Friday","05:37",-19.9207662230189,-43.9511899771388,"Collision","Nonfatal"
"76",2011-02-11,"Friday","05:37",-19.9207662230189,-43.9511899771388,"Collision","Nonfatal"
"77",2011-02-11,"Friday","05:50",-19.9322658846092,-43.9371340831319,"Running over","Nonfatal"
"78",2011-02-11,"Friday","06:25",-19.9131703794141,-43.9438506028266,"Collision","Nonfatal"
"79",2011-02-11,"Friday","07:30",-19.9208226800463,-43.9420072235249,"Running over","Nonfatal"
"80",2011-02-11,"Friday","07:30",-19.8832238219429,-44.0117463199429,"Running over","Nonfatal"
"81",2011-02-11,"Friday","07:30",-19.9026757507258,-43.9865795971935,"Collision","Nonfatal"
"82",2011-02-11,"Friday","07:35",-19.9222990360905,-43.9717635601431,"Collision","Nonfatal"
"83",2011-02-11,"Friday","07:53",-19.8539993395451,-43.997703361178,"Collision","Nonfatal"
"84",2011-02-11,"Friday","08:04",-19.8617532426908,-43.9675414942061,"Collision","Nonfatal"
"85",2011-02-11,"Friday","08:30",-19.9579133535364,-43.9375850854707,"Collision","Nonfatal"
"86",2011-02-11,"Friday","08:30",-19.9579133535364,-43.9375850854707,"Collision","Nonfatal"
"87",2011-02-11,"Friday","09:00",-19.9388320439114,-43.9822075818296,"Running over","Nonfatal"
"88",2011-02-11,"Friday","09:21",-19.8889849742907,-43.9540598564404,"Running over","Nonfatal"
"89",2011-02-11,"Friday","09:30",-19.9294394470375,-43.9782018932231,"Collision","Nonfatal"
"90",2011-02-11,"Friday","09:30",-19.9265321545862,-43.9333422998174,"Collision","Nonfatal"
"91",2011-02-11,"Friday","10:00",-19.9193156172616,-43.9378366774595,"Running over","Nonfatal"
"92",2011-02-11,"Friday","11:00",-19.9306753943315,-43.9267521337563,"Collision","Nonfatal"
"93",2011-02-11,"Friday","11:15",-19.8103190638291,-43.9633951663304,"Collision","Nonfatal"
"94",2011-02-11,"Friday","11:25",-19.8426790089422,-43.9591226307256,"Running over","Nonfatal"
"95",2011-02-11,"Friday","11:30",-19.9206972268743,-43.9281830900197,"Running over","Nonfatal"
"96",2011-02-11,"Friday","11:30",-19.9206972268743,-43.9281830900197,"Running over","Nonfatal"
"97",2011-02-11,"Friday","12:20",-19.9781906513758,-44.0108973197161,"Collision","Nonfatal"
"98",2011-02-11,"Friday","12:30",-19.9230600431893,-43.9691468824165,"Collision","Nonfatal"
"99",2011-02-11,"Friday","12:45",-19.9933642079255,-44.0257538386632,"Collision","Nonfatal"
"100",2011-02-11,"Friday","12:54",-19.9781906513758,-44.0108973197161,"Collision","Nonfatal"
"101",2011-02-11,"Friday","13:00",-19.8709659919682,-43.927178383722,"Collision","Nonfatal"
"102",2011-02-11,"Friday","13:20",-19.8851743496558,-43.9088289225141,"Collision","Nonfatal"
"103",2011-02-11,"Friday","13:20",-19.8851743496558,-43.9088289225141,"Collision","Nonfatal"
"104",2011-02-11,"Friday","13:20",-19.9180824826157,-43.8869560638297,"Collision","Nonfatal"
"105",2011-02-11,"Friday","13:20",-19.9180824826157,-43.8869560638297,"Collision","Nonfatal"
"106",2011-02-11,"Friday","13:30",-19.8813335068702,-43.9190487373571,"Collision","Nonfatal"
"107",2011-02-11,"Friday","14:00",-19.9435293336637,-43.956348470086,"Collision","Nonfatal"
"108",2011-02-11,"Friday","14:30",-19.9164417382899,-43.9421370601058,"Running over","Nonfatal"
"109",2011-02-11,"Friday","14:55",-19.9285371153473,-43.9532913727449,"Collision","Nonfatal"
"110",2011-02-11,"Friday","15:00",-19.9687576339521,-43.954764073956,"Collision","Nonfatal"
"111",2011-02-11,"Friday","15:00",-19.9687576339521,-43.954764073956,"Collision","Nonfatal"
"112",2011-02-11,"Friday","15:50",-19.9135216244725,-43.9714348261744,"Collision","Nonfatal"
"113",2011-02-11,"Friday","16:30",-19.9756239193376,-43.9695557853686,"Collision","Nonfatal"
"114",2011-02-11,"Friday","17:20",-19.9038015909187,-43.9517403727133,"Collision","Nonfatal"
"115",2011-02-11,"Friday","17:20",-19.9038015909187,-43.9517403727133,"Collision","Nonfatal"
"116",2011-02-11,"Friday","17:35",-19.8306866414706,-43.9406642849236,"Collision","Nonfatal"
"117",2011-02-11,"Friday","18:00",-19.9016871265371,-43.9125605633983,"Collision","Nonfatal"
"118",2011-02-11,"Friday","18:00",-19.816579611091,-43.9663498461423,"Collision","Nonfatal"
"119",2011-02-11,"Friday","18:15",-19.8607027545083,-43.9327213333253,"Collision","Nonfatal"
"120",2011-02-11,"Friday","19:00",-19.863289437506,-43.9111182311078,"Running over","Nonfatal"
"121",2011-02-11,"Friday","19:30",-19.904788008346,-44.0174219182508,"Running over","Nonfatal"
"122",2011-02-11,"Friday","19:30",-19.904788008346,-44.0174219182508,"Running over","Nonfatal"
"123",2011-02-11,"Friday","20:00",-19.9055504540992,-43.9627345887284,"Collision","Nonfatal"
"124",2011-02-11,"Friday","20:10",-19.8699406957461,-43.9922927711096,"Running over","Nonfatal"
"125",2011-02-11,"Friday","20:20",-19.9361580315642,-44.0248687826746,"Collision","Nonfatal"
"126",2011-02-11,"Friday","20:30",-19.9150244752647,-43.9084040096171,"Running over","Nonfatal"
"127",2011-02-11,"Friday","20:50",-19.8031048964607,-43.9720059878907,"Collision","Nonfatal"
"128",2011-02-11,"Friday","20:50",-19.8031048964607,-43.9720059878907,"Collision","Nonfatal"
"129",2011-02-11,"Friday","20:50",-19.8031048964607,-43.9720059878907,"Collision","Nonfatal"
"130",2011-02-11,"Friday","20:50",-19.8031048964607,-43.9720059878907,"Collision","Nonfatal"
"131",2011-02-11,"Friday","22:16",-19.9282723579494,-43.9553467916564,"Running over","Nonfatal"
"132",2011-02-12,"Saturday","00:30",-19.8984484727567,-44.0052161239902,"Running over","Nonfatal"
"133",2011-02-12,"Saturday","01:45",-19.8896752497291,-44.0113038756288,"Collision","Nonfatal"
"134",2011-02-12,"Saturday","01:50",-19.9345879174131,-43.9480633885698,"Collision","Nonfatal"
"135",2011-02-12,"Saturday","01:50",-19.9345879174131,-43.9480633885698,"Collision","Nonfatal"
"136",2011-02-12,"Saturday","01:50",-19.9345879174131,-43.9480633885698,"Collision","Nonfatal"
"137",2011-02-12,"Saturday","03:30",-19.9142308607981,-43.9397768063595,"Collision","Nonfatal"
"138",2011-02-12,"Saturday","05:40",-19.9148098579063,-43.9176090290291,"Collision","Nonfatal"
"139",2011-02-12,"Saturday","06:00",-19.9482868196696,-44.0099483409248,"Collision","Nonfatal"
"140",2011-02-12,"Saturday","07:25",-19.8016970683789,-43.941662491529,"Collision","Nonfatal"
"141",2011-02-12,"Saturday","08:00",-19.8047509477861,-43.9486399909096,"Collision","Nonfatal"
"142",2011-02-12,"Saturday","09:05",-19.9448495298947,-44.0047876339306,"Collision","Nonfatal"
"143",2011-02-12,"Saturday","11:20",-19.8433637578873,-43.9478846944865,"Collision","Nonfatal"
"144",2011-02-12,"Saturday","11:30",-19.9579492338175,-43.9338041319444,"Collision","Nonfatal"
"145",2011-02-12,"Saturday","12:00",-19.8330368082305,-43.9487142957373,"Collision","Nonfatal"
"146",2011-02-12,"Saturday","12:20",-19.9034071954046,-43.8932737063126,"Running over","Nonfatal"
"147",2011-02-12,"Saturday","12:30",-19.9195701644471,-43.9397617557106,"Running over","Nonfatal"
"148",2011-02-12,"Saturday","12:30",-19.9476338935754,-44.0085219548048,"Collision","Nonfatal"
"149",2011-02-12,"Saturday","14:27",-19.8012996828036,-43.9981332520262,"Running over","Nonfatal"
"150",2011-02-12,"Saturday","14:30",-19.9432372043796,-43.9480149058318,"Collision","Nonfatal"
"151",2011-02-12,"Saturday","14:45",-19.902417067844,-43.9864701459196,"Collision","Nonfatal"
"152",2011-02-12,"Saturday","15:00",-19.93655125038,-44.0157385263364,"Running over","Nonfatal"
"153",2011-02-12,"Saturday","15:20",-19.9838270741425,-44.0333059231809,"Running over","Nonfatal"
"154",2011-02-12,"Saturday","15:40",-19.92779988033,-43.9861931826497,"Collision","Nonfatal"
"155",2011-02-12,"Saturday","15:50",-19.9293348774921,-43.9535077783081,"Collision","Nonfatal"
"156",2011-02-12,"Saturday","15:50",-19.9293348774921,-43.9535077783081,"Collision","Nonfatal"
"157",2011-02-12,"Saturday","16:20",-19.9347813709577,-44.0211102713064,"Collision","Nonfatal"
"158",2011-02-12,"Saturday","16:20",-19.9347813709577,-44.0211102713064,"Collision","Nonfatal"
"159",2011-02-12,"Saturday","16:30",-19.8747709815248,-43.9478729915195,"Collision","Nonfatal"
"160",2011-02-12,"Saturday","17:00",-19.8473674031797,-43.9272186311744,"Collision","Nonfatal"
"161",2011-02-12,"Saturday","17:00",-19.8473674031797,-43.9272186311744,"Collision","Nonfatal"
"162",2011-02-12,"Saturday","17:00",-19.8473674031797,-43.9272186311744,"Collision","Nonfatal"
"163",2011-02-12,"Saturday","18:55",-19.9065643147696,-44.0166310416706,"Collision","Nonfatal"
"164",2011-02-12,"Saturday","18:55",-19.9065643147696,-44.0166310416706,"Collision","Nonfatal"
"165",2011-02-12,"Saturday","20:20",-19.8101354308471,-43.9637019602266,"Collision","Nonfatal"
"166",2011-02-12,"Saturday","20:20",-19.8101354308471,-43.9637019602266,"Collision","Nonfatal"
"167",2011-02-12,"Saturday","20:20",-19.8101354308471,-43.9637019602266,"Collision","Nonfatal"
"168",2011-02-12,"Saturday","20:20",-19.8101354308471,-43.9637019602266,"Collision","Nonfatal"
"169",2011-02-12,"Saturday","20:30",-19.8044612000468,-43.9703804260679,"Running over","Nonfatal"
"170",2011-02-12,"Saturday","21:00",-19.8343322120409,-43.9880751316939,"Collision","Nonfatal"
"171",2011-02-12,"Saturday","21:30",-19.9121256452433,-43.9778655648746,"Collision","Nonfatal"
"172",2011-02-12,"Saturday","21:30",-19.8170127398694,-43.9765697288822,"Collision","Nonfatal"
"173",2011-02-12,"Saturday","21:30",-19.8170127398694,-43.9765697288822,"Collision","Nonfatal"
"174",2011-02-12,"Saturday","21:30",-19.8170127398694,-43.9765697288822,"Collision","Nonfatal"
"175",2011-02-12,"Saturday","21:45",-19.8908172578169,-43.9053029901829,"Collision","Nonfatal"
"176",2011-02-12,"Saturday","21:50",-19.9780399565157,-43.9930131922143,"Running over","Nonfatal"
"177",2011-02-12,"Saturday","22:00",-19.822827105096,-43.9352352425752,"Collision","Nonfatal"
"178",2011-02-12,"Saturday","22:10",-19.8759448893862,-43.9282016024982,"Collision","Nonfatal"
"179",2011-02-12,"Saturday","22:20",-19.9429660109926,-43.9226990947807,"Collision","Nonfatal"
"180",2011-02-12,"Saturday","22:40",-19.9171475893658,-43.8817152311425,"Running over","Nonfatal"
"181",2011-02-12,"Saturday","22:55",-19.9760405243552,-44.0228307860283,"Collision","Nonfatal"
"182",2011-02-12,"Saturday","22:55",-19.9760405243552,-44.0228307860283,"Collision","Nonfatal"
"183",2011-02-12,"Saturday","23:26",-19.9193145021375,-43.9466249772091,"Running over","Nonfatal"
"184",2011-02-12,"Saturday","23:26",-19.9193145021375,-43.9466249772091,"Running over","Nonfatal"
"185",2011-02-12,"Saturday","23:26",-19.9193145021375,-43.9466249772091,"Running over","Nonfatal"
"186",2011-02-12,"Saturday","23:30",-19.9037562346817,-44.0170492296482,"Collision","Nonfatal"
"187",2011-02-12,"Saturday","23:30",-19.9037562346817,-44.0170492296482,"Collision","Nonfatal"
"188",2011-02-13,"Sunday","01:22",-19.8244099920657,-43.9866501762615,"Running over","Nonfatal"
"189",2011-02-13,"Sunday","03:00",-19.9746230015281,-44.0217483828107,"Collision","Nonfatal"
"190",2011-02-13,"Sunday","03:00",-19.8411755218184,-43.9285495217811,"Collision","Nonfatal"
"191",2011-02-13,"Sunday","03:10",-19.9177392179436,-43.9545519673925,"Collision","Nonfatal"
"192",2011-02-13,"Sunday","03:30",-19.9456269491336,-43.934332444773,"Collision","Nonfatal"
"193",2011-02-13,"Sunday","06:30",-19.9935787873693,-44.0275440310274,"Collision","Nonfatal"
"194",2011-02-13,"Sunday","06:50",-19.9266072926529,-43.9486373829951,"Collision","Nonfatal"
"195",2011-02-13,"Sunday","09:10",-19.8907102507202,-43.9087863232116,"Collision","Nonfatal"
"196",2011-02-13,"Sunday","12:10",-19.9136109058484,-43.984042983353,"Collision","Nonfatal"
"197",2011-02-13,"Sunday","13:00",-19.9336402938856,-43.9167873655809,"Running over","Nonfatal"
"198",2011-02-13,"Sunday","13:50",-19.818342650741,-43.9967787330465,"Collision","Nonfatal"
"199",2011-02-13,"Sunday","13:50",-19.818342650741,-43.9967787330465,"Collision","Nonfatal"
"200",2011-02-13,"Sunday","13:50",-19.818342650741,-43.9967787330465,"Collision","Nonfatal"
"201",2011-02-13,"Sunday","16:03",-19.9054315664229,-43.990476641401,"Collision","Nonfatal"
"202",2011-02-13,"Sunday","16:40",-19.8804530493537,-43.9223979330344,"Collision","Nonfatal"
"203",2011-02-13,"Sunday","16:40",-19.8804530493537,-43.9223979330344,"Collision","Nonfatal"
"204",2011-02-13,"Sunday","17:30",-19.8993824327861,-43.9996119058779,"Collision","Nonfatal"
"205",2011-02-13,"Sunday","18:10",-19.7990547365733,-43.985991109226,"Collision","Nonfatal"
"206",2011-02-13,"Sunday","18:30",-19.8051954787136,-43.9957521109431,"Collision","Nonfatal"
"207",2011-02-13,"Sunday","18:50",-19.9359458447813,-43.9833857282628,"Collision","Nonfatal"
"208",2011-02-13,"Sunday","19:06",-19.8686561430409,-43.9279156591521,"Collision","Nonfatal"
"209",2011-02-13,"Sunday","19:30",-19.822838114514,-43.8995644257681,"Collision","Nonfatal"
"210",2011-02-13,"Sunday","20:28",-19.9247918008603,-43.945393394591,"Collision","Nonfatal"
"211",2011-02-13,"Sunday","22:15",-19.8989269470867,-43.8975671832307,"Collision","Nonfatal"
"212",2011-02-13,"Sunday","22:20",-19.9118455986352,-43.9803944909212,"Collision","Nonfatal"
"213",2011-02-13,"Sunday","22:40",-19.9917761669941,-44.0184781687298,"Running over","Nonfatal"
"214",2011-02-14,"Monday","01:00",-19.848177689228,-43.9426143785599,"Collision","Nonfatal"
"215",2011-02-14,"Monday","01:30",-19.8179290294796,-43.9492173200272,"Running over","Nonfatal"
"216",2011-02-14,"Monday","02:15",-19.9870644238908,-44.0137401731171,"Collision","Nonfatal"
"217",2011-02-14,"Monday","06:30",-19.832982091127,-43.9941005241917,"Collision","Nonfatal"
"218",2011-02-14,"Monday","07:15",-19.8435836294192,-43.9709200526824,"Collision","Nonfatal"
"219",2011-02-14,"Monday","07:30",-19.8414604697461,-43.9661166309626,"Running over","Nonfatal"
"220",2011-02-14,"Monday","07:40",-19.8635362624903,-43.928645426597,"Collision","Nonfatal"
"221",2011-02-14,"Monday","08:30",-19.9215650555166,-43.9445022197115,"Collision","Nonfatal"
"222",2011-02-14,"Monday","09:10",-19.9381352521659,-43.9348950317517,"Running over","Nonfatal"
"223",2011-02-14,"Monday","09:50",-19.9564234625323,-43.957039074566,"Collision","Nonfatal"
"224",2011-02-14,"Monday","10:00",-19.9325138618293,-43.9565485723204,"Collision","Nonfatal"
"225",2011-02-14,"Monday","11:20",-19.8422877957988,-43.9679449838795,"Running over","Nonfatal"
"226",2011-02-14,"Monday","11:40",-19.9122241244802,-43.9739096804276,"Collision","Nonfatal"
"227",2011-02-14,"Monday","11:40",-19.9003705981897,-43.9331648285645,"Collision","Nonfatal"
"228",2011-02-14,"Monday","11:50",-19.9489769899205,-43.9194301309393,"Collision","Nonfatal"
"229",2011-02-14,"Monday","11:50",-19.9489769899205,-43.9194301309393,"Collision","Nonfatal"
"230",2011-02-14,"Monday","12:00",-19.9822160918508,-44.009594925954,"Collision","Nonfatal"
"231",2011-02-14,"Monday","12:00",-19.9822160918508,-44.009594925954,"Collision","Nonfatal"
"232",2011-02-14,"Monday","12:19",-19.8607027545083,-43.9327213333253,"Collision","Nonfatal"
"233",2011-02-14,"Monday","12:40",-19.8614926499059,-43.9917037908941,"Collision","Nonfatal"
"234",2011-02-14,"Monday","12:40",-19.9205622819406,-43.9415378626412,"Collision","Nonfatal"
"235",2011-02-14,"Monday","13:00",-19.8785573866028,-43.9117879867199,"Collision","Nonfatal"
"236",2011-02-14,"Monday","13:20",-19.9550244993787,-43.9885551603216,"Collision","Nonfatal"
"237",2011-02-14,"Monday","13:20",-19.9278361315331,-43.9545805472586,"Collision","Nonfatal"
"238",2011-02-14,"Monday","14:02",-19.908205909987,-43.9361105023532,"Collision","Nonfatal"
"239",2011-02-14,"Monday","15:45",-19.9347399987624,-43.9282441395409,"Collision","Nonfatal"
"240",2011-02-14,"Monday","16:10",-19.8147372376024,-43.963577151708,"Collision","Nonfatal"
"241",2011-02-14,"Monday","16:40",-19.973347156264,-44.0189659731427,"Running over","Nonfatal"
"242",2011-02-14,"Monday","16:50",-19.875149555591,-43.9055968611976,"Collision","Nonfatal"
"243",2011-02-14,"Monday","17:15",-19.9141939729524,-43.9355983365294,"Collision","Nonfatal"
"244",2011-02-14,"Monday","17:15",-19.9141939729524,-43.9355983365294,"Collision","Nonfatal"
"245",2011-02-14,"Monday","17:45",-19.9303537835467,-43.982283572859,"Running over","Nonfatal"
"246",2011-02-14,"Monday","17:45",-19.9303537835467,-43.982283572859,"Running over","Nonfatal"
"247",2011-02-14,"Monday","17:45",-19.9301180598091,-43.9714258781811,"Collision","Nonfatal"
"248",2011-02-14,"Monday","17:45",-19.9301180598091,-43.9714258781811,"Collision","Nonfatal"
"249",2011-02-14,"Monday","17:45",-19.9301180598091,-43.9714258781811,"Collision","Nonfatal"
"250",2011-02-14,"Monday","18:20",-19.8114849295698,-43.9928134080967,"Collision","Nonfatal"
"251",2011-02-14,"Monday","18:28",-19.9301447315248,-43.9502128980218,"Collision","Nonfatal"
"252",2011-02-14,"Monday","18:30",-19.8190951656659,-43.9745304739755,"Collision","Nonfatal"
"253",2011-02-14,"Monday","18:30",-19.8190951656659,-43.9745304739755,"Collision","Nonfatal"
"254",2011-02-14,"Monday","18:30",-19.9111366517243,-43.9184569227475,"Collision","Nonfatal"
"255",2011-02-14,"Monday","18:30",-19.9111366517243,-43.9184569227475,"Collision","Nonfatal"
"256",2011-02-14,"Monday","18:30",-19.9111366517243,-43.9184569227475,"Collision","Nonfatal"
"257",2011-02-14,"Monday","18:40",-19.9458066772299,-44.0054967599146,"Collision","Nonfatal"
"258",2011-02-14,"Monday","18:40",-19.9173433964288,-43.8912534768314,"Collision","Nonfatal"
"259",2011-02-14,"Monday","18:45",-19.9206685710431,-43.9731422051941,"Collision","Nonfatal"
"260",2011-02-14,"Monday","18:45",-19.9206685710431,-43.9731422051941,"Collision","Nonfatal"
"261",2011-02-14,"Monday","18:52",-19.8457216765717,-43.9761348947197,"Collision","Nonfatal"
"262",2011-02-14,"Monday","18:52",-19.8457216765717,-43.9761348947197,"Collision","Nonfatal"
"263",2011-02-14,"Monday","21:15",-19.9370010494388,-43.9157651352821,"Collision","Nonfatal"
"264",2011-02-14,"Monday","21:30",-19.8034164874953,-43.9794359571063,"Collision","Nonfatal"
"265",2011-02-14,"Monday","23:20",-19.9469547880334,-43.9481199454315,"Collision","Nonfatal"
"266",2011-02-14,"Monday","23:30",-19.9145757641996,-43.9761235179177,"Collision","Nonfatal"
"267",2011-02-15,"Tuesday","07:00",-19.9287373623901,-43.907885951851,"Running over","Nonfatal"
"268",2011-02-15,"Tuesday","08:00",-19.9184199361685,-43.9110281728055,"Collision","Nonfatal"
"269",2011-02-15,"Tuesday","08:06",-19.8247284925451,-43.9600353870789,"Collision","Nonfatal"
"270",2011-02-15,"Tuesday","08:10",-19.9422263152275,-44.0030040709198,"Collision","Nonfatal"
"271",2011-02-15,"Tuesday","08:10",-19.8793538471323,-43.9513185384482,"Running over","Nonfatal"
"272",2011-02-15,"Tuesday","09:05",-19.9208425973243,-43.9287808401427,"Collision","Nonfatal"
"273",2011-02-15,"Tuesday","10:45",-19.9232985884934,-43.9367035444602,"Running over","Nonfatal"
"274",2011-02-15,"Tuesday","11:28",-19.9425784858655,-43.9561583613714,"Collision","Nonfatal"
"275",2011-02-15,"Tuesday","12:00",-19.9374916408327,-43.9674476915103,"Collision","Nonfatal"
